RESOURCE_FILE,KEYWORD_NAME,LINE_NUMBER,LOCATION
Resource/Common/tab.resource,Click Tab,8,Resource/Common/tab.resource:8
Resource/Common/tab.resource,Tab Should Be Visible,13,Resource/Common/tab.resource:13
Resource/Common/text.resource,Click Text,8,Resource/Common/text.resource:8
Resource/Common/text.resource,Text Should Be Visible,13,Resource/Common/text.resource:13
Resource/Common/textbox.resource,Fill Textbox With Value,8,Resource/Common/textbox.resource:8
Resource/Common/textbox.resource,Fill Textbox,13,Resource/Common/textbox.resource:13
Resource/Common/textbox.resource,Clear Textbox,18,Resource/Common/textbox.resource:18
Resource/Common/textbox.resource,Textbox Should Be Visible,23,Resource/Common/textbox.resource:23
Resource/Common/textbox.resource,Textbox Contain Value,28,Resource/Common/textbox.resource:28
Resource/Common/textbox.resource,Textbox Should Be Empty,36,Resource/Common/textbox.resource:36
Resource/Common/textbox.resource,Set Value In The Textbox,44,Resource/Common/textbox.resource:44
Resource/Modules/challenge/Challenge.resource,Select Challenge Category,9,Resource/Modules/challenge/Challenge.resource:9
Resource/Modules/challenge/Challenge.resource,Start Challenge Card At Index,15,Resource/Modules/challenge/Challenge.resource:15
Resource/Modules/learn/Learn.resource,Select Learn Option At Index,9,Resource/Modules/learn/Learn.resource:9
Resource/Modules/learn/Learn.resource,Fill Learn Blank Input Answer,15,Resource/Modules/learn/Learn.resource:15
Resource/Modules/learn/Learn.resource,Submit Learn Check,20,Resource/Modules/learn/Learn.resource:20
Resource/Modules/learn/Learn.resource,Try Learn Again,26,Resource/Modules/learn/Learn.resource:26
Resource/Modules/learn/Learn.resource,Exit Learn Session,31,Resource/Modules/learn/Learn.resource:31
Resource/Modules/login/Signin.resource,Navigate To Sign In Page,13,Resource/Modules/login/Signin.resource:13
Resource/Modules/login/Signin.resource,Sign In Page Validation,20,Resource/Modules/login/Signin.resource:20
Resource/Modules/login/Signin.resource,Fill Sign In Form,30,Resource/Modules/login/Signin.resource:30
Resource/Modules/login/Signin.resource,Sign In With Credentials,37,Resource/Modules/login/Signin.resource:37
Resource/Modules/login/Signin.resource,Sign In Error Should Contain Text,45,Resource/Modules/login/Signin.resource:45
Resource/Modules/login/Signin.resource,Error Message Should Be Visible,50,Resource/Modules/login/Signin.resource:50
Resource/Modules/mainpage/mainpage.resource,Main Page Validation,8,Resource/Modules/mainpage/mainpage.resource:8
Resource/Modules/mainpage/mainpage.resource,Open Main Menu,15,Resource/Modules/mainpage/mainpage.resource:15
Resource/Modules/mainpage/mainpage.resource,Close Main Menu,21,Resource/Modules/mainpage/mainpage.resource:21
Resource/Modules/mainpage/mainpage.resource,Open Page From Main Menu,26,Resource/Modules/mainpage/mainpage.resource:26
Resource/Modules/mainpage/mainpage.resource,Cancel Logout From Main Menu,33,Resource/Modules/mainpage/mainpage.resource:33
Resource/Modules/mainpage/mainpage.resource,Confirm Logout From Main Menu,44,Resource/Modules/mainpage/mainpage.resource:44
Resource/Modules/mainpage/mainpage.resource,Refresh Main Quote,54,Resource/Modules/mainpage/mainpage.resource:54
Resource/Modules/mainpage/mainpage.resource,Start Lesson From Main Page,59,Resource/Modules/mainpage/mainpage.resource:59
Resource/Modules/mainpage/mainpage.resource,Start Challenge From Main Page,65,Resource/Modules/mainpage/mainpage.resource:65
Resource/Modules/mainpage/mainpage.resource,Set Daily Goal Target,71,Resource/Modules/mainpage/mainpage.resource:71
Resource/Modules/mainpage/mainpage.resource,Advance Quick Practice,79,Resource/Modules/mainpage/mainpage.resource:79
Resource/Modules/mainpage/mainpage.resource,Reset Quick Practice,84,Resource/Modules/mainpage/mainpage.resource:84
Resource/Modules/mainpage/mainpage.resource,Select Quick Practice Option At Index,89,Resource/Modules/mainpage/mainpage.resource:89
Resource/Modules/mainpage/mainpage.resource,Enable Dark Mode,95,Resource/Modules/mainpage/mainpage.resource:95
Resource/Modules/profile/Profile.resource,Profile Page Validation,8,Resource/Modules/profile/Profile.resource:8
Resource/Modules/profile/Profile.resource,Profile Stats Should Be Visible,20,Resource/Modules/profile/Profile.resource:20
Resource/Modules/profile/Profile.resource,Profile Message Should Be Visible,26,Resource/Modules/profile/Profile.resource:26
Resource/Modules/pronunciation/Pronunciation.resource,Pronunciation Page Should Be Ready,8,Resource/Modules/pronunciation/Pronunciation.resource:8
Resource/Modules/pronunciation/Pronunciation.resource,Select Pronunciation Group At Index,14,Resource/Modules/pronunciation/Pronunciation.resource:14
Resource/Modules/pronunciation/Pronunciation.resource,Select Pronunciation Sound At Index,19,Resource/Modules/pronunciation/Pronunciation.resource:19
Resource/Modules/pronunciation/Pronunciation.resource,Pronunciation Message Should Be Visible,25,Resource/Modules/pronunciation/Pronunciation.resource:25
Resource/Modules/ranking/Ranking.resource,Ranking Page Validation,8,Resource/Modules/ranking/Ranking.resource:8
Resource/Modules/register/Signup.resource,Sign Up Page Validation,17,Resource/Modules/register/Signup.resource:17
Resource/Modules/register/Signup.resource,Fill Registration Form,31,Resource/Modules/register/Signup.resource:31
Resource/Modules/register/Signup.resource,Submit Registration,48,Resource/Modules/register/Signup.resource:48
Resource/Modules/register/Signup.resource,Create New Account,61,Resource/Modules/register/Signup.resource:61
Resource/Modules/register/Signup.resource,Registration Error Should Be Visible,72,Resource/Modules/register/Signup.resource:72
Resource/Modules/register/Signup.resource,Verify Registration Status,77,Resource/Modules/register/Signup.resource:77
Resource/Modules/welcomepage/Welcomepage.resource,Welcome Page Validation,9,Resource/Modules/welcomepage/Welcomepage.resource:9
